"ID";"Month";"Year";"Age";"Gender";"HHIncome";"HHSize";"RelationshipL";"DM";"TV_Adv";"Facebook_Adv";"Publicity";"Web_Visits";"Facebook_Page_Views";"churnD"
16905;1;2012;73;"Male";28147;3;0;0;0;42143.8078486965;23;9336;368;0
16905;2;2012;73;"Male";28147;3;1;0;0;28065.7554776411;22;8716;381;1
16907;1;2012;45;"Male";32643;3;0;0;0;42143.8078486965;23;9336;368;0
16907;2;2012;45;"Male";32643;3;1;0;0;28065.7554776411;22;8716;381;0
16907;3;2012;45;"Male";32643;3;2;1;0;5089.66476175808;37;9765;339;1
16910;2;2012;36;"Male";30711;3;0;0;0;28065.7554776411;22;8716;381;0
16910;3;2012;36;"Male";30711;3;1;0;0;5089.66476175808;37;9765;339;0
16910;4;2012;36;"Male";30711;3;2;0;0;15368.256729146;41;7323;364;0
16910;5;2012;36;"Male";30711;3;3;0;0;1071.69364882015;31;3664;324;1
16938;2;2012;71;"Male";21517;3;0;0;0;28065.7554776411;22;8716;381;0
16938;3;2012;71;"Male";21517;3;1;0;0;5089.66476175808;37;9765;339;0
16938;4;2012;71;"Male";21517;3;2;1;0;15368.256729146;41;7323;364;1
16941;2;2012;49;"Female";24628;2;0;0;0;28065.7554776411;22;8716;381;0
16941;3;2012;49;"Female";24628;2;1;0;0;5089.66476175808;37;9765;339;0
16941;4;2012;49;"Female";24628;2;2;1;0;15368.256729146;41;7323;364;1
16949;2;2012;48;"Male";27202;2;0;0;0;28065.7554776411;22;8716;381;0
16949;3;2012;48;"Male";27202;2;1;0;0;5089.66476175808;37;9765;339;1
16975;4;2012;39;"Male";19199;3;0;0;0;15368.256729146;41;7323;364;0
16975;5;2012;39;"Male";19199;3;1;0;0;1071.69364882015;31;3664;324;0
16975;6;2012;39;"Male";19199;3;2;1;0;64722.2626677355;33;6346;360;0
16975;7;2012;39;"Male";19199;3;3;1;0;15975.365383563;23;9113;362;0
16975;8;2012;39;"Male";19199;3;4;1;0;30797.7586980616;52;7784;273;0
16975;9;2012;39;"Male";19199;3;5;0;0;17986.6546148108;46;9607;370;0
16975;10;2012;39;"Male";19199;3;6;1;10500;3902.54193570821;59;8346;418;0
16975;11;2012;39;"Male";19199;3;7;1;7320;42437.215213263;41;9064;357;0
16975;12;2012;39;"Male";19199;3;8;1;21567.49;29841.4574185985;35;4340;333;0
16975;1;2013;40;"Male";19199;3;9;0;227.99;32299.6803871535;36;6837;320;0
16975;2;2013;40;"Male";19199;3;10;0;0;29589.8443095443;28;6857;446;0
16975;3;2013;40;"Male";19199;3;11;1;0;40616.310095759;44;9088;363;0
16975;4;2013;40;"Male";19199;3;12;1;0;24323.0454231263;43;7824;253;0
16975;5;2013;40;"Male";19199;3;13;0;0;33204.8954039564;62;9024;415;0
16975;6;2013;40;"Male";19199;3;14;1;13386.25;28284.4727852959;32;9568;333;0
16975;7;2013;40;"Male";19199;3;15;0;1160;40060.9718232836;33;8450;396;0
16975;8;2013;40;"Male";19199;3;16;1;16848;13607.0519158419;28;5888;363;0
16975;9;2013;40;"Male";19199;3;17;0;18998;24964.4842183003;27;3844;330;0
16975;10;2013;40;"Male";19199;3;18;1;0;15014.7595014839;47;6772;323;0
16975;11;2013;40;"Male";19199;3;19;0;42229.6;6394.38493375176;24;5467;326;0
16975;12;2013;40;"Male";19199;3;20;1;57048.64;53578.7239213706;58;10177;399;0
16975;1;2014;41;"Male";19199;3;21;0;0;42228.9838713102;50;6876;349;0
16975;2;2014;41;"Male";19199;3;22;1;0;2140.77355458183;46;8727;339;0
16975;3;2014;41;"Male";19199;3;23;1;5700;6052.41461768391;59;9710;327;0
16975;4;2014;41;"Male";19199;3;24;0;0;9095.19581736356;36;5840;423;0
16975;5;2014;41;"Male";19199;3;25;0;0;44708.202627986;77;9844;379;0
16975;6;2014;41;"Male";19199;3;26;1;13386.25;50995.9161147744;42;8588;331;0
16975;7;2014;41;"Male";19199;3;27;1;14600;9026.25141029171;24;7657;371;0
16975;8;2014;41;"Male";19199;3;28;1;0;614.375570992743;33;8779;275;0
16975;9;2014;41;"Male";19199;3;29;0;0;47530.3859284607;30;9293;289;0
16975;10;2014;41;"Male";19199;3;30;1;0;10678.3193221821;30;5098;376;0
16975;11;2014;41;"Male";19199;3;31;1;0;3896.59680770334;39;8425;461;0
